DeepBio_id,smiles,sweet
164,COc1ccc(CC=C)cc1,1
174,CSCCCO,1
198,CCC(C)COC(C)=O,1
137,CCOC(=O)CC(C)C,1
205,CCCC1CCCC(=O)O1,1
208,CCCCCCCC(C)=O,1
210,CC(C)=CCOC(C)=O,1
148,CC(=O)CO,1
228,CCCCCCCC(=O)OCC=C,1
156,CCOC(=O)C1OC1c1ccccc1,1
197,CCCCC(=O)OC,1
255,CCCCCC1CC=CC(=O)O1,1
201,CCC(=O)OC(C)C,0
182,CC(C)COC=O,1
203,CC(C)CCOC(=O)CC(C)C,1
161,CC(=O)OCc1ccccc1,0
167,CCCCCCC(=O)OCC=C,1
262,O=C1CCCCCCCCCCCC(=O)OCCO1,1
175,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,1
212,Cc1ccc(cc1)C(C)(C)O,1
179,CCCCCOC(=O)CCCCC,1
231,CCc1occc(=O)c1O,0
223,C=CCOC(=O)CCC1CCCCC1,1
177,CCOC(=O)CCC(C)=O,1
257,CC(C)COC(=O)Cc1ccccc1,1
259,CC(C)C(=O)OCCOc1ccccc1,1
252,CCCCCCCCCCCCCC(=O)OCC,1
196,CCCC(=O)OC,1
214,CC(O)C=Cc1ccccc1,1
176,CCCCC(=O)OCC,1
173,CC(=O)OCc1ccc2OCOc2c1,0
184,CCCOc1ccc(cc1N)[N+]([O-])=O,1
251,CC(C)CCOC(C)=O,0
204,CCC1CCC(=O)O1,1
224,CC(C)CC(=O)OCC=C,1
235,CC(C)C(=O)C(O)=C,1
247,COc1ccc(C=O)cc1,0
226,CC1OC(C)=C(O)C1=O,1
159,COc1ccccc1C=O,0
216,CCCCCCCC(=O)OCCC(C)C,1
165,CCCC(=O)OCCC(C)CCC=C(C)C,1
149,CCOC(=O)c1ccccc1O,1
244,CC(=O)OCCCc1ccccc1,0
158,CC(=O)c1ccc(C)cc1,1
263,CC(C)=CC=O,1
160,CC(CCOC(=O)Cc1ccccc1)CCC=C(C)C,1
185,CCCOC(=O)CC(C)C,0
253,CCC1=C(O)C(=O)C(C)O1,1
269,CCCC(=O)OC(C)C,1
258,O=C(Cc1ccccc1)OCc1ccccc1,1
155,COc1cc(ccc1O)C(O)=O,1
240,CN1C(=O)c2ccccc2S1(=O)=O,0
230,O=C1CCC2CCCCC2O1,1
168,CCCCCCOC(C)=O,0
