NSC #,LC:A549/ATCC,smiles
104943,4.165,C=C1C(=O)O[C@H]2[C@H]1[C@H](OC(=O)/C(C)=C\C)C[C@]1(CO1)[C@@H]1[C@H](OC(C)=O)C=C(C)[C@]21O
104960,5.48,CCOc1cccnc1/C=N/NC(N)=S
105014,5.685999999999999,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1
105131,4.58,COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1C(Cc1ccc(O)c(c1)Oc1ccc(cc1)CC3N(C)CC2)N(C)CC4
105132,5.29,CCC1C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
10517,5.76,CN(C)c1ccc(/C=C\c2cccc[n+]2C)cc1.[I-]
10520,5.98,C[n+]1c(/C=C\c2ccc(Cl)cc2)ccc2ccccc21.[I-]
10526,5.66,CN(C)c1ccc(/C=C/c2sc3ccccc3[n+]2C)cc1.[I-]
105307,5.47,COc1cc(/C=C/[N+](=O)[O-])c([N+](=O)[O-])cc1OC
10534,5.35,C[N+]1=C(/C=C\C=C\c2ccccc2)C(C)(C)c2ccccc21.[I-]
105348,4.0,COc1cc(Cl)c(CC(=O)c2c[nH]c3ccccc23)cc1OC
10535,5.58,CN(C)c1ccc(/C=C/C2=[N+](C)c3ccccc3C2(C)C)cc1.[I-]
105444,4.0,N#CC1(Nc2ccc(-c3ccc(NC4(C#N)CCCC4)cc3)cc2)CCCC1
105509,4.0,O=C1CCc2cc(Br)ccc2O1
105546,5.545,CC(C)=CCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O
105550,4.0,O=C1c2cccc([N+](=O)[O-])c2C(=O)N1c1nc[nH]n1
105808,6.063333333333333,NC1=C(Br)C(=O)c2ncccc2C1=O
105827,6.574999999999999,NC(=S)c1cn(C2OC(CO)C(O)C2O)c2ncnc(N)c12
10587,4.95,CCCCN(CCCC)CC(C)(C)C(O)c1ccc(OC)c2ccccc12.Cl
105900,4.0,O=C(O)CCC(=O)c1ccc2sc3ccccc3c2c1
10594,6.75,CCN(CC)CCC(CNc1c2ccc([N+](=O)[O-])cc2nc2cc(OC)c(OC)cc12)c1ccccc1.Cl
106139,5.43,O=C(CCCC(=O)N/N=C/c1cc(Cl)ccc1O)N/N=C\c1cc(Cl)ccc1O
106193,5.7,COc1cc(O)c2c(c1O)C(=O)C1=C(COC(C)(O)C1)C2=O
106246,4.33,Cn1cc(/C=C\[N+](=O)[O-])c2ccccc21
1063,7.17,COc1ccc2nc3cc(Cl)ccc3c(NCCCCCN3CCCCC3)c2c1
106360,5.4,CC(=O)Nc1c(Br)cc2c(c1Br)Cc1cc(Br)ccc1-2
106399,7.560499999999999,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
106408,7.48,CO[C@H]1Nc2c(ccc(C)c2O)C(=O)N2C=C(/C=C/C(N)=O)C[C@@H]12
10641,5.18,CCCCCN(CCCCC)CC(O)c1cc(Cl)ccc1OC.Cl
106442,4.77,CC1COCC(C)N1C1=C(Cl)C(=O)c2ccccc2C1=O
106445,4.66,O=C1C(Cl)=C(N/N=c2/[nH][nH]/c(=N/NC3=C(Cl)C(=O)c4ccccc4C3=O)c3ccccc23)C(=O)c2ccccc21
106461,4.0,c1ccc(-c2nnc(-c3ccccn3)s2)nc1
106531,4.0,O=NN(CCCl)C(=O)Nc1ccc(Cl)c(Cl)c1
106553,4.72,CC1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)O)CCC45C)C3(C)CO)OCC(O)C2O)C(O)C(O)C1O
106554,4.47,CC1(C)CCC2(C(=O)O)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC6OCC(O)C(O)C6OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1
10660,4.85,CCCCCN(CCCCC)CC(O)c1ccc(Cl)c2ccccc12.Cl
106640,5.46,O=[N+]([O-])c1cccc([I+]c2ccccc2)c1.[Br-]
